li2 khui1 a1i5	li2|khui1|a1.i5
he1	he1
he1 chong3 sann2	he1|chong3|sann2
he1	he1
li2 thiann1u7	li2|thiann1.u7
seh8ling5long1	seh8ling5long1
he1 siann2mih8	he1|siann2.mih8
he1 niau1a2	he1|niau1.a2
an3ne1 kam2	an3.ne1|kam2
an3ne1 khuann3	an3.ne1|khuann3
i1 chia1pun3tau2kue3	i1|chia1.pun3.tau2.kue3
chia1pun3tau2	chia1.pun3.tau2
i1 to2 sng2	i1|to2|sng2
li2 to2	li2|to2
an3ne1	an3.ne1
siann2mih8	siann2.mih8
ce1 ai3	ce1|ai3
m7bian2	m7bian2
an3ne1 kuai1	an3.ne1|kuai1
li2 khi3 tueh4 sui2 sann1	li2|khi3|tueh4|sui2|sann1
he1 lih4 chong3 sann2	he1|lih4|chong3|sann2
an3ne1	an3.ne1
ko1ko1 leh4 chong3 sann2	ko1.ko1|leh4|chong3|sann2
sng2	sng2
sng2	sng2
hia1 kui2 khoo1	hia1|kui2|khoo1
hia1 kui2 khoo1	hia1|kui2|khoo1
hia1 kui2 khoo1	hia1|kui2|khoo1
ioh4 tueh4 chiu2	ioh4|tueh4|chiu2
a1i5 ioh4	a1.i5|ioh4
a1i5 ioh4	a1.i5|ioh4
a1i5 khuann3tioh8	a1.i5|khuann3.tioh8
an3ne1 ai3 pun1 a1i5	an3.ne1|ai3|pun1|a1.i5
ai3 khoo1khoo1 pun1 a1i5	ai3|khoo1.khoo1|pun1|a1.i5
ho2	ho2
beh4 be2 hun1	beh4|be2|hun1
an3ne1	an3.ne1
ai3 an3ne1	ai3|an3.ne1
chut4khi3	chut4.khi3
chut4khi3	chut4.khi3
koh4 tau3jip8khi3	koh4|tau3.jip8khi3
koh4 toh4 tau3jip8khi3	koh4|toh4|tau3.jip8khi3
a1ping1ko1	a1.ping1.ko1
a1ping1ko1 siann2mih8	a1.ping1.ko1|siann2.mih8
pue1khi3 cui2 hia1	pue1.khi3|cui2|hia1
cok4 kin2	cok4|kin2
li2 beh4	li2|beh4
pue1khi3 tueh4 khi3	pue1.khi3|tueh4|khi3
ho2 kuainn1	ho2|kuainn1
be7sai2 a1i5	be7sai2|a1.i5
a1i5 kian3 bo5ai3	a1.i5|kian3|bo5ai3
li2 bo5thang1 chit4tho5	li2|bo5thang1|chit4.tho5
thoo5kha1	thoo5kha1
li2 khuann3mai7a2	li2|khuann3.mai7a2
khuann3 lai7te2 siann2mih8	khuann3|lai7te2|siann2.mih8
khuann3 siann2mih8	khuann3|siann2.mih8
he1 sann1	he1|sann1
ciah4	ciah4
ciah4 co3 ciah4 pue1	ciah4|co3|ciah4|pue1
be7sai2	be7sai2
tan2le0 tue3 a1i5 tng2khi3 ho2	tan2.le0|tue3|a1.i5|tng2.khi3|ho2
cin1	cin1
ho2	ho2
he1 be7sai2	he1|be7sai2
be7sai2	be7sai2
he1 ui5hiam2	he1|ui5hiam2
he1 be7sai2 tan3	he1|be7sai2|tan3
be7sai2	be7sai2
i1 kam2 leh4 li2 chia1	i1|kam2|leh4|li2|chia1
kam2	kam2
he1 kam2 thng5a2	he1|kam2|thng5a2
he1 kam2	he1|kam2
kam2	kam2
he1 siann2mih8	he1|siann2.mih8
ce1	ce1
cit4 siann2mih8	cit4|siann2.mih8
ping1siunn1	ping1.siunn1
ping1siunn1 ping1 siann2mih8	ping1.siunn1|ping1|siann2.mih8
koh4 siann2mih8	koh4|siann2.mih8
ping1siunn1 lai7te2 koh4 ping1 siann2mih8	ping1.siunn1|lai7te2|koh4|ping1|siann2.mih8
li2 lok4 khoo1 lue3 i1	li2|lok4|khoo1|lue3|i1
lok4 khoo1	lok4|khoo1
lok4 khoo1 lok4khi3 tueh4 khi3	lok4|khoo1|lok4.khi3|tueh4|khi3
lok4khi3 pinn1a2	lok4.khi3|pinn1.a2
thing5khi3	thing5khi3
suah4 thing5khi3	suah4|thing5khi3
koh4 lok4	koh4|lok4
koh4 lok4lue3 ciah4	koh4|lok4.lue3|ciah4
koh4 lok4 ciah4	koh4|lok4|ciah4
ho2	ho2
io5lue3	io5lue3
io5lue3	io5lue3
io5lue3	io5lue3
lok4	lok4
lok4 ui3 tueh4	lok4|ui3|tueh4
li2 long2 tueh4	li2|long2|tueh4
li2	li2
he1 siann2mih8	he1|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
kam2	kam2
kam2	kam2
he1	he1
ce1 lai7te2 siann2mih8	ce1|lai7te2|siann2.mih8
siann2mih8 te2 bi2	siann2.mih8|te2|bi2
li2 kha1 oo1so5so5	li2|kha1|oo1.so5so5
be7iau1kin2	be7iau1.kin2
he1 an3cuann2	he1|an3.cuann2
he1 khi3 bang2a2 ting3	he1|khi3|bang2.a2|ting3
bang2a2 ting3 li2 puah8to2	bang2.a2|ting3|li2|puah8to2
cin1	cin1
kui2 ciah4	kui2|ciah4
sann1 ciah4	sann1|ciah4
cia1 pa1pa1 chia1	cia1|pa1.pa1|chia1
li2 khuann3mai7a2	li2|khuann3.mai7a2
tueh4 pa1pa1 chia1	tueh4|pa1.pa1|chia1
li2 khuann3mai7a2	li2|khuann3.mai7a2
he1 kam2 pa1pa1 sai2	he1|kam2|pa1.pa1|sai2
cit4 kam2 pa1pa1 sai2	cit4|kam2|pa1.pa1|sai2
cit4 kam2	cit4|kam2
kam2 cit4	kam2|cit4
cit4 siann2mih8	cit4|siann2.mih8
cit4 siann2mih8 chia1	cit4|siann2.mih8|chia1
hue3chia1 cai3 piann2	hue3.chia1|cai3|piann2
cai3 thng5a2	cai3|thng5a2
ce1 siann2mih8	ce1|siann2.mih8
ce1 sann2mih8	ce1|sann2.mih8
ho2 ah4bo5 li2 kong2	ho2|ah4.bo5|li2|kong2
li2 kong2	li2|kong2
ang5ting1 e7sai2 kue3	ang5ting1|e7sai2|kue3
chenn1ting1	chenn1.ting1
chenn1ting1 e7sai2 kue3	chenn1.ting1|e7sai2|kue3
ang5ting1	ang5ting1
ang5ting1 be7sai2	ang5ting1|be7sai2
chenn1ting1 be7sai2	chenn1.ting1|be7sai2
long2cong2 mai3 kue3	long2.cong2|mai3|kue3
long2 mai3 kue3 long3tioh8	long2|mai3|kue3|long3.tioh8
long2 be7sai2	long2|be7sai2
li2 au7kian3 beh4 co3 kau1thong1 king2chat4	li2|au7kian3|beh4|co3|kau1.thong1|king2.chat4
li2 au7kian3 beh4 co3 siann2mih8	li2|au7kian3|beh4|co3|siann2.mih8
ho2	ho2
khi3 a1coo2 hia1	khi3|a1.coo2|hia1
he1 li2 cai1	he1|li2|cai1
si7an3cuann2	si7an3.cuann2
long3tioh8	long3.tioh8
na2chiunn7	na2.chiunn7
an3ne1 i1 long3tioh8	an3.ne1|i1|long3.tioh8
kam2	kam2
khi3 a1liang7a0 hia1 siu1li2	khi3|a1.liang7a0|hia1|siu1.li2
a1liang7 leh4 siu1li2 hue2chia1	a1.liang7|leh4|siu1.li2|hue2.chia1
he1 siann2mih8 chia1	he1|siann2.mih8|chia1
in1 beh4 khi3 chit4tho5 cim2a2 lai5kau3 tueh4	in1|beh4|khi3|chit4.tho5|cim2.a2|lai5kau3|tueh4
ce1 hue2chia1	ce1|hue2.chia1
cit4 ciong2 hue2chia1 cok4 kin2	cit4|ciong2|hue2.chia1|cok4|kin2
khuann3 gua7khau2 chia1	khuann3|gua7khau2|chia1
kam2 an3ne1	kam2|an3.ne1
khuann3 in1 koh4	khuann3|in1|koh4
koh4 ke3siok8	koh4|ke3.siok8
li2 hian1kue3	li2|hian1.kue3
khuann3 in1 koh4 sai2 kau3 tueh4	khuann3|in1|koh4|sai2|kau3|tueh4
khuann3 cit4 chia1 in1 beh4 khi3 chit4tho5 sai2 kau3 tueh4	khuann3|cit4|chia1|in1|beh4|khi3|chit4.tho5|sai2|kau3|tueh4
khi3 long3tioh8	khi3|long3.tioh8
kin2	kin2
khuann3 koh4lai5 khuann3 long3tioh8	khuann3|koh4.lai5|khuann3|long3.tioh8
long3tioh8	long3.tioh8
ah4bo5 i1 cim2a2 lai5kau3 tueh4	ah4.bo5|i1|cim2.a2|lai5kau3|tueh4
i1 thau5ting2 long3tioh8	i1|thau5ting2|long3.tioh8
i1 long3tioh8	i1|long3.tioh8
li2 cok4 khiau2	li2|cok4|khiau2
kio3 hue2chia1 cai3 an3ne1	kio3|hue2.chia1|cai3|an3.ne1
tueh4 ciong2	tueh4|ciong2
kam2 cit4 ciong2	kam2|cit4|ciong2
li2 khuann3mai7a2	li2|khuann3.mai7a2
pa1pa1 he1 kam2 hiah4	pa1.pa1|he1|kam2|hiah4
i1 ai3 cai3 hiah4	i1|ai3|cai3|hiah4
li2 kang1 ai3 tau3 cai3	li2|kang1|ai3|tau3|cai3
m7ai3	m7ai3
hia1 king2chat4	hia1|king2.chat4
li2 khuann3	li2|khuann3
king2chat4 bih4 hia1	king2.chat4|bih4|hia1
gua2 khuann3tioh8	gua2|khuann3.tioh8
li2 khuann3	li2|khuann3
gua2 khuann3tioh8 king2chat4 bih4 hia1	gua2|khuann3.tioh8|king2.chat4|bih4|hia1
king2chat4 bih4 hia1	king2.chat4|bih4|hia1
he1 king2chat4	he1|king2.chat4
li2 long2 cok4 oo1peh8 ki1	li2|long2|cok4|oo1.peh8|ki1
i1 beh4 li2	i1|beh4|li2
in1 leh4 chong3 sann2	in1|leh4|chong3|sann2
in1 leh4 siann2mih8	in1|leh4|siann2.mih8
li2 khi3 be2	li2|khi3|be2
li2 be2 i1	li2|be2|i1
li2 be2 kui2 pue1	li2|be2|kui2|pue1
ho2	ho2
he1 siann2mih8	he1|siann2.mih8
he1	he1
he1	he1
be7sai2 an3ne1	be7sai2|an3.ne1
he1 siann2mih8	he1|siann2.mih8
he1 siann2mih8	he1|siann2.mih8
kau2a2	kau2.a2
li2 pa1pa1	li2|pa1.pa1
guan2	guan2
guan2 kong2 he1	guan2|kong2|he1
king2chat4 lan2	king2.chat4|lan2
li2 liam3 chui3phue2	li2|liam3|chui3.phue2
chui3phue2 li2 tah4khi2lai5	chui3.phue2|li2|tah4.khi2.lai5
i1 si7an3cuann2 an3ne1	i1|si7an3.cuann2|an3.ne1
kam2	kam2
i1 leh4 khau3	i1|leh4|khau3
si7an3cuann2 leh4 khau3	si7an3.cuann2|leh4|khau3
phah4phah4 tueh4	phah4.phah4|tueh4
phah4 thau5khak4	phah4|thau5khak4
an3ne1	an3.ne1
chiunn2 siann2mih8	chiunn2|siann2.mih8
an3ne1	an3.ne1
i1	i1
i1 leh4 khau3	i1|leh4|khau3
li2 phah4 thau5khak4	li2|phah4|thau5khak4
ko1ko1 an3ne1	ko1.ko1|an3.ne1
li2 ing3kai1 phah4	li2|ing3.kai1|phah4
li2 cok4	li2|cok4
koh4 cok4 phainn2	koh4|cok4|phainn2
long2 kong2 thiann1	long2|kong2|thiann1
ho2	ho2
hit4le0 leh4 chong3 sann2	hit4.le0|leh4|chong3|sann2
he1 siann2mih8	he1|siann2.mih8
he1 siann2mih8	he1|siann2.mih8
he1 siann2mih8	he1|siann2.mih8
he1 siann2mih8	he1|siann2.mih8
he1	he1
he1	he1
he1 beh4 li2	he1|beh4|li2
i1 leh4 siann2mih8	i1|leh4|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
ce1	ce1
ce1	ce1
ai3 chiat4	ai3|chiat4
bian2	bian2
kui1	kui1
ce1	ce1
he1 siann2mih8	he1|siann2.mih8
he1 kam1a2	he1|kam1.a2
he1 kam1a2	he1|kam1.a2
kam1a2 kam2 ai3 peh4	kam1.a2|kam2|ai3|peh4
liu2ting1	liu2.ting1
liu2ting1 cia1	liu2.ting1|cia1
liu2ting1	liu2.ting1
ce1 siann2mih8	ce1|siann2.mih8
he1 siann2mih8	he1|siann2.mih8
liu2ting1 kam2 ai3 peh4	liu2.ting1|kam2|ai3|peh4
ai3 chiat4	ai3|chiat4
kam1a2 kam2 ai3	kam1.a2|kam2|ai3
kam1a2 ai3 chiat4	kam1.a2|ai3|chiat4
kin1cio1 ai3 an3na2	kin1.cio1|ai3|an3.na2
peh4	peh4
he1	he1
he1	he1
ce1 siann2mih8	ce1|siann2.mih8
he1 kam1cia3	he1|kam1.cia3
phui3tiau7	phui3.tiau7
phui3khi3 tueh4	phui3.khi3|tueh4
ce1 ai3 phui3 leh4 tueh4	ce1|ai3|phui3|leh4|tueh4
he1 liah4	he1|liah4
he1 siann2mih8	he1|siann2.mih8
he1 khong2liong5	he1|khong2.liong5
cia1 ki1 kha1	cia1|ki1|kha1
cia1 ki1	cia1|ki1
beh4 i1 kha1	beh4|i1|kha1
kin2	kin2
koh4 hian1kue3	koh4|hian1.kue3
koh4 hian1kue3	koh4|hian1.kue3
ho2	ho2
ka1lue3 phua3khi3	ka1.lue3|phua3.khi3
he1 tan2le0 beh4	he1|tan2.le0|beh4
he1 tan2le0 beh4	he1|tan2.le0|beh4
lok4lue3 lai7te2	lok4.lue3|lai7te2
tan2le0 beh4	tan2.le0|beh4
he1 be7sai2 siak4	he1|be7sai2|siak4
he1 siak4loh8 phainn2khi3	he1|siak4.loh8|phainn2.khi3
beh4 tui3 tueh4 thau2	beh4|tui3|tueh4|thau2
li2 khuann3mai7a2	li2|khuann3.mai7a2
tui3 tueh4 thau2	tui3|tueh4|thau2
kam2	kam2
an3ne1 kam2	an3.ne1|kam2
he1 lok4jip8khi3	he1|lok4.jip8khi3
i1	i1
ching7khi2lai5	ching7khi2.lai5
he1 be7sai2cit4	he1|be7sai2.cit4
bo5beh4 siu1	bo5beh4|siu1
chiann2 khng3 hia1 ho2	chiann2|khng3|hia1|ho2
li2 ai3 kong2 sann2	li2|ai3|kong2|sann2
li2 ai3 kong2 sann2mih8	li2|ai3|kong2|sann2.mih8
li2 thiann1 sann2mih8	li2|thiann1|sann2.mih8
hi5a2	hi5a2
kui2 hue3	kui2|hue3
li2 kui2 hue3	li2|kui2|hue3
chai3tau7	chai3.tau7
kan2tan1	kan2.tan1
kan2tan1	kan2.tan1
cok4 kan2tan1	cok4|kan2.tan1
ho2	ho2
beh4 ui3 tueh4	beh4|ui3|tueh4
ho2	ho2
kheh4khi3	kheh4.khi3
kong2	kong2
li2 e7hiau2	li2|e7hiau2
ai3 khah4 ku2	ai3|khah4|ku2
ai3 khah4 ku2	ai3|khah4|ku2
ui3 hia1	ui3|hia1
koh4 an3na2	koh4|an3.na2
an3ne1	an3.ne1
ai3 cok4 ku2	ai3|cok4|ku2
cok4 ku2	cok4|ku2
li2 koh4 chiunn3 kai2	li2|koh4|chiunn3|kai2
li2 koh4 chiunn3 kai2	li2|koh4|chiunn3|kai2
kin2	kin2
siunn1 se3 siann1	siunn1|se3|siann1
ho2	ho2
hia1	hia1
khi3 khioh4	khi3|khioh4
hia1 koh4	hia1|koh4
he1 li2 khioh4	he1|li2|khioh4
li2 tam3 cia1 tan2	li2|tam3|cia1|tan2
gua2 khuann3mai7	gua2|khuann3.mai7
ce1	ce1
li2 kong2	li2|kong2
be7ki3cit4	be7ki3.cit4
li2 be7ki3cit4	li2|be7ki3.cit4
it4tit8 beh4 khi3 tueh4	it4.tit8|beh4|khi3|tueh4
an3na2	an3.na2
li2 sing1 kong2	li2|sing1|kong2
i1 koh4 khuann3tioh8 siann2mih8	i1|koh4|khuann3.tioh8|siann2.mih8
i1 koh4 khuann3tioh8 cit4 ciah4 siann2mih8	i1|koh4|khuann3.tioh8|cit4|ciah4|siann2.mih8
siann2	siann2
khang1	khang1
cim2a2 hong1 m7bian2 kuan3	cim2.a2|hong1|m7bian2|kuan3
he1 hong1	he1|hong1
khah4 kuan3	khah4|kuan3
hong1	hong1
an3ne1	an3.ne1
pian3 hiah4	pian3|hiah4
sia2ji7	sia2.ji7
li2 bo5ai3 khuann3	li2|bo5ai3|khuann3
a1sian1 chia1	a1.sian1|chia1
li2 gua2 tim3 li2	li2|gua2|tim3|li2
be7sai2	be7sai2
tiam2a2ka1	tiam2.a2.ka1
li2 be7ki3cit4	li2|be7ki3.cit4
gua2 chun1 kha1	gua2|chun1|kha1
cai1	cai1
chun1 sann2mih8	chun1|sann2.mih8
li2 tu2ciah4 khi3 sann2mih8	li2|tu2.ciah4|khi3|sann2.mih8
li2	li2
li2 khuann3 sann2mih8	li2|khuann3|sann2.mih8
kha1 a2be7 ho2	kha1|a2.be7|ho2
li2 tua3 hiah4	li2|tua3|hiah4
li2 kui2 e5a2 ho2	li2|kui2|e5a2|ho2
hit4 ciah4 siann2mih8	hit4|ciah4|siann2.mih8
i1 kong2 gua2	i1|kong2|gua2
sann2mih8	sann2.mih8
tng7khi3	tng7khi3
li2 kong2	li2|kong2
gua2 kong2 hiah4 kai2	gua2|kong2|hiah4|kai2
li2 kam2 be7hiau2 kong2	li2|kam2|be7hiau2|kong2
gua2 kong2	gua2|kong2
li2 ai3 kong2 gua2 thiann1	li2|ai3|kong2|gua2|thiann1
cit4le0 siann2mih8	cit4.le0|siann2.mih8
li2 ai3 li2 kong2	li2|ai3|li2|kong2
i1 an3nua2	i1|an3.nua2
ai3 gua2 kong2	ai3|gua2|kong2
mai3	mai3
kong2	kong2
am3bin5bong1 soo2cai7	am3.bin5bong1|soo2.cai7
ce1 siann2mih8 tua3 cia1	ce1|siann2.mih8|tua3|cia1
koh4lai5	koh4.lai5
kang1	kang1
sann2mih8	sann2.mih8
ai3 khi3 king1	ai3|khi3|king1
li2 sann2mih8	li2|sann2.mih8
cim2a2	cim2.a2
hiah4 uann3	hiah4|uann3
siu1tann3	siu1.tann3
cim2a2 chun1 sann2mih8	cim2.a2|chun1|sann2.mih8
he1 sann2	he1|sann2
gua2 koh4 beh4 ke1bah4png7	gua2|koh4|beh4|ke1.bah4.png7
ah4bo5 li2 sann2mih8	ah4.bo5|li2|sann2.mih8
he1 siann2mih8	he1|siann2.mih8
ioh8a2	ioh8a2
li2 ioh8a2	li2|ioh8a2
long2	long2
li2 tan1a2 sann2mih8hue3	li2|tan1.a2|sann2.mih8hue3
sann2mih8 khuan2	sann2.mih8|khuan2
ah4bo5 li2 siann2mih8 sin1	ah4.bo5|li2|siann2.mih8|sin1
siann2mih8 sin1	siann2.mih8|sin1
li2 ai3	li2|ai3
i1 kah4 kui1	i1|kah4|kui1
i1 tu2 sau3ho2	i1|tu2|sau3.ho2
e7sai2 tng2khi3	e7sai2|tng2.khi3
bin5a2cai3 hioh4khun3	bin5a2.cai3|hioh4.khun3
li2 ke1bah4png7 khah4 ho2ciah8	li2|ke1.bah4.png7|khah4|ho2.ciah8
lok4a2	lok4.a2
siann2mih8	siann2.mih8
lian2bu7	lian2.bu7
lih4 ai3khun3	lih4|ai3.khun3
an3ne1	an3.ne1
ho2	ho2
gua2	gua2
ho2	ho2
gua2	gua2
gua2 beh4	gua2|beh4
an3nua2 khuann3	an3.nua2|khuann3
ioh8a2	ioh8a2
i1 hu1hu1	i1|hu1.hu1
ho2	ho2
gua2 be7ki3cit4	gua2|be7ki3.cit4
gua2 li2	gua2|li2
sui2	sui2
cu1a2	cu1.a2
chau3ling1tai1	chau3.ling1.tai1
hit4 kai2	hit4|kai2
li2 kong2ue7 i1 long2 thiann1bo5	li2|kong2.ue7|i1|long2|thiann1.bo5
li2 kong2ue7	li2|kong2.ue7
long2 thiann1bo5	long2|thiann1.bo5
beh4 cioh4 li2	beh4|cioh4|li2
cia1	cia1
hia1	hia1
tan2le0 be7ki3cit4	tan2.le0|be7ki3.cit4
khng3 cia1	khng3|cia1
i1 kau3	i1|kau3
gua2 bo5ai3 li2	gua2|bo5ai3|li2
li2 a1i5 siann2mih8	li2|a1.i5|siann2.mih8
piah4 to2ui7	piah4|to2.ui7
kui1 khoo1	kui1|khoo1
chai3thau5kue2	chai3.thau5kue2
li2 e7hiau2 sng2 chai3thau5kue2	li2|e7hiau2|sng2|chai3.thau5kue2
khah4 guan2 tau1	khah4|guan2|tau1
beh4 an3cuann2	beh4|an3.cuann2
cit4 kai2	cit4|kai2
li2 ai3 cim1	li2|ai3|cim1
cham2	cham2
beh4 an3nua2	beh4|an3.nua2
gua2 be7hiau2	gua2|be7hiau2
li2 hiah4 kho2lian5	li2|hiah4|kho2.lian5
ai3 ka1ti7 khi3	ai3|ka1.ti7|khi3
beh4 an3cuann2	beh4|an3.cuann2
ho2	ho2
khah4 siann1	khah4|siann1
thiann1tioh8	thiann1.tioh8
ho2	ho2
li2 ai3 po3 a1i5 khuann3	li2|ai3|po3|a1.i5|khuann3
an3nua2	an3.nua2
kong2 hiah4 kin2	kong2|hiah4|kin2
i1 bih4 ti7leh4 tueh4	i1|bih4|ti7leh4|tueh4
ciok4 thiann3	ciok4|thiann3
ciok4 thiann3	ciok4|thiann3
i1 sau1siann1 khah4 ho2thiann1	i1|sau1.siann1|khah4|ho2.thiann1
siann1 pian3 khah4 ho2thiann1	siann1|pian3|khah4|ho2.thiann1
koh4lai5	koh4.lai5
siann1	siann1
oo1peh8 kong2	oo1.peh8|kong2
li2 kui2 hue3	li2|kui2|hue3
si3 hue3 an3nua2 pi2	si3|hue3|an3.nua2|pi2
li2 cim2a2 an3ne1 kue3ni5	li2|cim2.a2|an3.ne1|kue3.ni5
gua2 be7ki3cit4	gua2|be7ki3.cit4
koh4 in1	koh4|in1
i1 long2 an3nua2	i1|long2|an3.nua2
he1 siann2mih8	he1|siann2.mih8
i1	i1
he1 sann2mih8	he1|sann2.mih8
i1 kong2 li2 an3nua2	i1|kong2|li2|an3.nua2
i1 kong2 an3nua2	i1|kong2|an3.nua2
ce1 siann2mih8	ce1|siann2.mih8
khi3	khi3
li2 cia1 a2be7 kong2liau2	li2|cia1|a2.be7|kong2.liau2
i1 cap8ji7tiam2	i1|cap8ji7tiam2
an3nua2	an3.nua2
khuann3 lue3	khuann3|lue3
ho2	ho2
an3nua2	an3.nua2
li2 cit4 pun2 cheh4	li2|cit4|pun2|cheh4
li2 khi3 tueh4 pai3pai3	li2|khi3|tueh4|pai3.pai3
chau3ling1tai1	chau3.ling1.tai1
beh4	beh4
thiann3	thiann3
i1 kong2 thiann3	i1|kong2|thiann3
siann2mih8	siann2.mih8
an3ne1	an3.ne1
he1 siann2mih8 co3	he1|siann2.mih8|co3
koh4 siann2mih8	koh4|siann2.mih8
cua2	cua2
hia1	hia1
hit4 tiunn1 cua2	hit4|tiunn1|cua2
pian3 an3ne1	pian3|an3.ne1
li2 khi3 li2 a1m2 khuann3	li2|khi3|li2|a1.m2|khuann3
li2 khi3 li2 a1m2 khuann3 a1m2 kong2 an3nua2	li2|khi3|li2|a1.m2|khuann3|a1.m2|kong2|an3.nua2
co3 ciah4	co3|ciah4
kai2 co3 ciah4	kai2|co3|ciah4
chun1 ciah4	chun1|ciah4
koh4 i1 thng3tioh8	koh4|i1|thng3.tioh8
khok4a2	khok4.a2
cit4le0 li2 ho2	cit4.le0|li2|ho2
sann2mih8 khah4 e7sai2	sann2.mih8|khah4|e7sai2
sann2mih8 khok4a2	sann2.mih8|khok4.a2
li2 liau2 khah4koh4 cu2	li2|liau2|khah4.koh4|cu2
ce1	ce1
ce1 ho2	ce1|ho2
li2 tih4 chong3 sann2	li2|tih4|chong3|sann2
chue1 ling2	chue1|ling2
ah4bo5 li2 kong2	ah4.bo5|li2|kong2
he1 kue2	he1|kue2
ho2	ho2
mai3 kheh4 hia1	mai3|kheh4|hia1
khng3 gua7khau2	khng3|gua7khau2
khng3 hit4	khng3|hit4
i1 giu2	i1|giu2
li2 kong2 siann2mih8	li2|kong2|siann2.mih8
li2 pak4	li2|pak4
i1 bo5ai3 li2 pak4	i1|bo5ai3|li2|pak4
li2 mai3	li2|mai3
gua2 li2 ho2	gua2|li2|ho2
li2 ho2	li2|ho2
cin1	cin1
si7an3cuann2 leh4 kong2 gua2	si7an3.cuann2|leh4|kong2|gua2
ko1ko1 li2 chiunn2khi3	ko1.ko1|li2|chiunn2.khi3
sann2mih8 pang1	sann2.mih8|pang1
ce1	ce1
mai3 li2 cha2	mai3|li2|cha2
li2 ce1 that4lue3 cia1	li2|ce1|that4.lue3|cia1
li2 khi3 toh4	li2|khi3|toh4
li2 cai1	li2|cai1
li2 khi3 a1i5 in1 hia1	li2|khi3|a1.i5|in1|hia1
li2 cia1 co3 sann2mih8	li2|cia1|co3|sann2.mih8
pa1pa1 ueh4 sann2mih8	pa1.pa1|ueh4|sann2.mih8
pa1pa1	pa1.pa1
pa1pa1 ueh4 sann2mih8	pa1.pa1|ueh4|sann2.mih8
pa1pa1	pa1.pa1
pa1pa1 ueh4 shan1dong4	pa1.pa1|ueh4|shan1.dong4
ki5kuai3 pa1pa1	ki5kuai3|pa1.pa1
li2 cia1 khioh4 ce1 sann2mih8	li2|cia1|khioh4|ce1|sann2.mih8
ce1	ce1
li2 cia1	li2|cia1
li2 kann2 sng2 ce1 cui2	li2|kann2|sng2|ce1|cui2
li2	li2
be7sai2 an3ne1	be7sai2|an3.ne1
khuann3liau2 an3nua2	khuann3.liau2|an3.nua2
thiau3tian7	thiau3.tian7
am3bin5bong1	am3.bin5bong1
li2 gua2 sua2 kah4 an3ne1	li2|gua2|sua2|kah4|an3.ne1
be7sai2	be7sai2
tan2le0	tan2.le0
li2 khuann3tioh8	li2|khuann3.tioh8
i1 ne1ne1 cok4	i1|ne1.ne1|cok4
ciah4 an3nua2	ciah4|an3.nua2
hueh4 long2 koh4 sin1khu1	hueh4|long2|koh4|sin1.khu1
hit4	hit4
gua2 cai1 e7sai2 khi3	gua2|cai1|e7sai2|khi3
it4tit8	it4.tit8
li2 mai3 an3ne1	li2|mai3|an3.ne1
sio2cia2	sio2.cia2
ah4bo5 long2 siann2mih8	ah4.bo5|long2|siann2.mih8
long2 cit4 sann1	long2|cit4|sann1
gua7khau2 siann2mih8	gua7khau2|siann2.mih8
he1 a1i5	he1|a1.i5
li2 mai3 an3ne1	li2|mai3|an3.ne1
gua2 a2be7 khui1	gua2|a2.be7|khui1
ah4bo5 i1 hia1 kui1 kang1	ah4.bo5|i1|hia1|kui1|kang1
li2 an3nua2	li2|an3.nua2
li2 cim2a2 ioh8a2 long2 an3nua2	li2|cim2.a2|ioh8a2|long2|an3.nua2
ciok4 khoo2	ciok4|khoo2
kam1a2 khah4 khoo2	kam1.a2|khah4|khoo2
kin1a2jit8 sann2mih8	kin1.a2.jit8|sann2.mih8
tan1a2 ce1	tan1.a2|ce1
koh4	koh4
kam2 cia1	kam2|cia1
li2 long2 theh8tng2lai5	li2|long2|theh8tng2.lai5
kin2	kin2
li2 ka3kau3 tueh4	li2|ka3.kau3|tueh4
siann2mih8	siann2.mih8
cia1	cia1
i1 tha5tu2a2 long2 beh4 li2 cha2	i1|tha5tu2.a2|long2|beh4|li2|cha2
lin2	lin2
siann2mih8	siann2.mih8
he1 siann2mih8	he1|siann2.mih8
ce1	ce1
hiah4 pinn2pinn2	hiah4|pinn2.pinn2
a1i5 kiann1 li2	a1.i5|kiann1|li2
li2 tha5tu2a2 co3	li2|tha5tu2.a2|co3
siann2mih8	siann2.mih8
ho2	ho2
li2 co3 siann2mih8	li2|co3|siann2.mih8
thau5ke1	thau5ke1
thau5ke1	thau5ke1
an3ne1 be7sai2 cit4	an3.ne1|be7sai2|cit4
an3ne1 ho2	an3.ne1|ho2
ho2	ho2
gua2 kam2 li2 theh8khi2lai5	gua2|kam2|li2|theh8khi2.lai5
be7sai2	be7sai2
ciah8pa2 khah4 li2	ciah8pa2|khah4|li2
ho2	ho2
gua2 beh4 li2 tan2le0	gua2|beh4|li2|tan2.le0
li2 beh4 khi3 tueh4	li2|beh4|khi3|tueh4
ho2	ho2
khah4 se3ji7	khah4|se3.ji7
an3nua2	an3.nua2
puah8to2	puah8to2
an3ne1 e7sai2	an3.ne1|e7sai2
li2 chui3ta1	li2|chui3.ta1
in1	in1
